FileID,Northing (m),Easting (m),TVDSS (m),Umin (m),Uint (m),Umax (m),Azimuth Umax (deg),Elevation Umax (deg),relative ot (s),Confidence Index,SNR mean P,SNR mean S,Mw P,Mw S,Mw (calibrated),,
20230719_051004.980,4263077.90,335593.30,692.56,10.62,11.46,18.04,275.99,76.66,2.475,24,14,12,0.51,0.40,-0.70,,
20230719_051543.780,4263089.68,335732.02,681.77,11.62,13.85,34.97,270.08,89.50,2.478,51,31,35,1.00,0.95,-0.18,,
20230719_051730.040,4263112.08,335736.10,676.94,11.94,13.88,29.24,270.60,87.43,2.506,39,23,18,0.71,0.77,-0.41,,
20230719_052359.820,4263061.73,335722.24,685.52,10.94,13.19,33.06,272.33,89.76,2.485,63,61,98,1.16,1.31,0.08,,
20230719_054509.880,4263033.62,335709.80,693.86,11.86,15.77,26.70,273.07,89.59,2.502,57,60,67,1.10,1.13,-0.03,,
20230719_055455.600,4263072.48,335747.52,713.64,13.35,15.13,42.04,271.31,89.41,2.506,51,36,39,1.11,1.07,-0.06,,
20230719_055501.740,4263064.59,335716.34,694.65,10.62,14.88,38.64,80.84,91.06,2.542,32,24,15,0.90,0.74,-0.33,,
20230719_055911.380,4263053.53,335831.30,737.19,14.01,16.77,27.22,270.43,89.26,2.503,32,43,29,1.09,0.80,-0.21,,
20230719_060005.780,4263073.33,335744.84,720.31,11.90,12.33,28.32,271.56,89.76,2.480,43,54,29,0.92,0.83,-0.27,,
20230719_060022.840,4263094.53,335732.45,663.69,12.36,16.20,41.78,270.05,88.84,2.505,40,32,28,0.94,0.89,-0.23,,
20230719_060125.060,4263106.89,335738.00,656.74,13.60,18.36,42.71,88.20,91.43,2.492,32,18,16,0.58,0.69,-0.51,,
20230719_061531.020,4263096.86,335754.34,707.49,13.02,13.53,36.75,89.03,90.71,2.464,57,60,59,1.19,1.04,-0.04,,
20230719_062035.920,4263025.16,335629.51,655.55,15.98,16.39,26.55,274.16,89.60,2.478,30,13,13,0.41,0.56,-0.66,,
20230719_062247.120,4262978.85,335727.44,729.12,9.88,13.47,27.48,93.34,90.06,2.506,32,17,14,0.92,0.77,-0.31,,
20230719_064141.680,4263149.64,335690.03,609.26,10.67,15.29,30.02,86.98,92.13,0.415,29,18,12,0.38,0.53,-0.70,,
20230719_064205.660,4263066.01,335827.35,704.77,13.60,14.95,39.08,273.05,87.56,2.461,36,29,24,0.77,0.81,-0.36,,
20230719_064501.860,4263089.10,335748.57,649.23,16.86,17.24,42.55,90.01,90.61,2.453,27,18,14,0.53,0.66,-0.55,,
20230719_064853.660,4263003.02,335614.93,659.87,14.61,14.98,22.02,83.18,89.89,2.493,29,14,12,0.42,0.54,-0.67,,
20230719_065306.860,4263079.88,335725.62,679.45,14.02,16.72,42.16,90.42,90.00,2.529,39,20,18,0.93,0.80,-0.29,,
20230719_065523.560,4263098.54,335761.81,692.08,14.87,15.60,25.58,89.92,91.03,2.498,68,32,68,1.15,1.23,0.04,,
20230719_065900.780,4263160.37,335772.30,673.85,8.06,8.44,28.40,86.56,89.66,0.506,19,5,5,1.28,1.08,0.03,,
20230719_070140.740,4263167.83,335677.17,593.21,14.26,17.51,30.12,76.00,88.35,2.424,54,53,74,1.03,1.19,-0.04,,
20230719_070535.980,4262965.18,335667.96,744.84,28.42,30.97,65.52,316.53,134.06,2.494,43,24,23,1.03,0.78,-0.25,,
20230719_071705.740,4263107.06,335675.50,638.68,10.91,12.31,25.85,270.38,90.86,2.496,43,32,30,0.70,0.69,-0.45,,
